Species,Length,Width,l/w,top angle,Length of the petiole
Uguressa,7.4,3.7,2,110,0.8
Weliwenna,8.2,3.7,2.21,80,0.9
Veralu,7.5,3.9,1.92,80,1.2
Uguressa,8.4,4.8,1.75,145,0.8
Weliwenna,9.2,3.8,2.41,72,1
Veralu,7.3,4.1,1.78,75,1.5
Weliwenna,9.4,3.9,2.41,92,1
Veralu,7.5,4.5,1.66,89,1.3
Uguressa,8.6,4.5,1.91,120,0.8
Uguressa,8.8,4.5,1.95,150,0.9
Veralu,7,4.4,1.59,79,1.4
Weliwenna,9.6,3.8,2.52,64,1
Veralu,7.6,4,1.9,65,1.5
Weliwenna,8.8,3.7,2.37,85,1
Uguressa,8,4.7,1.7,148,0.7
Weliwenna,8.7,3.6,2.41,63,0.7
Veralu,8,4,2,69,2
Uguressa,8.9,4.1,2.17,120,0.9
Weliwenna,8.8,3.7,2.37,74,1
Uguressa,8.6,3.9,2.2,130,0.8
Veralu,6.8,3.9,1.74,85,1.8
Weliwenna,8.7,3.9,2.23,82,1
Uguressa,8.6,4.4,1.95,147,0.8
Weliwenna,9.2,3.8,2.42,77,1
Uguressa,8.8,4.3,2.04,123,0.8
Uguressa,9.5,4.6,2.06,145,0.9
Veralu,8,4,2,80,1.5
Veralu,7.9,4.5,1.75,67,1.6
Uguressa,9.2,4.7,1.95,110,0.8
Veralu,7.4,4,1.85,89,1.2
Weliwenna,9,3.3,2.72,83,0.8
Veralu,7.8,4.1,1.9,77,1.7
Uguressa,8.4,3.6,2.33,130,0.8
Weliwenna,8.8,3.4,2.58,76,0.9
Uguressa,8.3,3.8,2.18,127,0.8
Veralu,8.3,4.6,1.8,70,2.3
Veralu,7.2,3.8,1.8,77,1.8
Weliwenna,9.1,3.7,2.45,69,1.1
Uguressa,9.6,4.4,2.18,115,0.9
Weliwenna,8.9,3.8,2.34,83,1
Veralu,7.7,4.1,1.8,85,1.4
Uguressa,7.9,4.6,1.71,145,0.8
Veralu,8,4.6,1.7,84,1.5
Weliwenna,9.2,3.3,2.78,67,1
Weliwenna,8.8,3.5,2.51,78,0.8
Uguressa,8.3,4.3,1.93,132,0.7
Veralu,7.6,3.8,2,72,1.8
Weliwenna,8.9,3.9,2.28,75,1
Uguressa,7.4,4,1.68,140,0.8
Veralu,7.4,4.2,1.7,75,1.4
Uguressa,9.1,4.4,2.06,115,0.8
Veralu,7.9,4.4,1.7,79,2
Weliwenna,9.4,3.7,2.54,88,1.1
Uguressa,8.5,4.1,2.07,112,0.8
Veralu,8.5,4.6,1.8,82,1.5
Uguressa,7.8,4,1.77,140,0.7
Veralu,8.2,4.2,1.95,68,1.3
Weliwenna,9.1,3.6,2.52,75,0.9
Uguressa,8.5,4.6,1.84,137,0.8
Veralu,7.1,3.9,1.82,77,2.2
Weliwenna,8.8,3.5,2.51,79,1
Weliwenna,9,3.4,2.64,75,1
Uguressa,8.4,4.5,1.86,128,0.8
Veralu,7.3,3.9,1.87,80,1.4
Weliwenna,8.7,3.5,2.48,82,0.7
Uguressa,8.4,4.1,2.04,120,0.8
Veralu,8,4.3,1.86,72,1.7
Weliwenna,9.2,3.4,2.7,70,0.9
Veralu,8.1,4.6,1.76,67,1.9
Weliwenna,9.1,3.5,2.6,85,1
Veralu,7,3.8,1.84,83,1.5
Weliwenna,8.7,3.7,2.35,80,1
Uguressa,8.4,4.5,1.86,145,0.8
Veralu,6.7,4,1.67,78,1.3
Weliwenna,8.6,3.8,2.26,75,1.1
Uguressa,8,3.9,2.05,128,0.8
Veralu,7.8,4.5,1.73,84,2.3
Weliwenna,8.9,3.5,2.54,79,1
Uguressa,8.5,4.6,1.84,120,0.8
Veralu,8.1,4.4,1.84,70,2.2
Uguressa,7.9,3.9,2.02,133,0.9
Weliwenna,8.9,3.7,2.4,81,1
Uguressa,9.2,4.7,1.95,142,0.8
Veralu,8.5,4.3,1.97,73,1.6
Weliwenna,9.4,3.9,2.41,74,0.8
Veralu,7.6,4.2,1.8,78,2
Uguressa,7.9,3.6,2.19,145,0.7
Weliwenna,9.1,3.6,2.52,72,0.9
Weliwenna,8.9,3.5,2.54,76,1
Uguressa,8.1,4.5,1.8,141,0.9
